artist,title,genre,url,region,score,sp_popularity,sp_date,sp_img,sp_album_id,sp_artist_id
Rabino,Boys of Bel-Aire,r&b/soul,https://rabino.bandcamp.com/album/boys-of-bel-aire,calgary,20.333,15,2020-03-27T00:00.000Z,https://i.scdn.co/image/ab67616d00001e024d9dafd867ffd5e7d1f1822e,5cDhFrNdi23zH8ZPaT1AbL,52pVsY60ZFaVVWloypQPD3
noca project,(a)live,folk,https://nocaproject.bandcamp.com/album/a-live,calgary,19.133,3,2020-04-05T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02231843e27b692aee661fa840,5AzLpIuPbOHQCa3vTIKGXP,3A32jC9oyAJx5DOqFePBaM
feel alright,Coming True / In Your Eyes,pop,https://feelalright.bandcamp.com/album/coming-true-in-your-eyes,calgary,18.6,1,2020-04-06T00:00.000Z,https://i.scdn.co/image/ab67616d00001e020f634ade6172dc0d6fc3d43a,14jQ1G5GMKGEpubmghhJaP,7jA9upEQqLWj9vncHWeK6I
Amanda Jackson Band,OCEAN,pop,https://amandajacksonband.bandcamp.com/album/ocean,pei,18.267,6,2020-04-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d793705fc85c28b6d12d5e6a,5bzQOredYZZ0gV4bRNbg0P,1rsnYoKcEZ9G1DdqSGzoYm
Sueños Electrónicos,Guerra Electrónica,electronic,https://suenoselectronicos.bandcamp.com/album/guerra-electr-nica,novascotia,18.0,0,2020-04-06T00:00.000Z,https://i.scdn.co/image/ab67616d00001e021560cd18693f106e70a901b5,4bwaQic22PoLMJcLXnJ4RH,2OFO6mLBNor4Gj6yG4Qqu1
niimo,Helium,hip-hop/rap,https://niimobeats.bandcamp.com/album/helium-2,pei,17.667,15,2020-03-23T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02acffedd2a5f98b47b6a822e8,503DwLL1s0UxBbeco1nFbZ,2Fyn0k2HSVrhl6L6CRT1Bl
Jordano Martinez,Self-Isolation,electronic,https://jordanomartinez.bandcamp.com/album/self-isolation,calgary,17.333,0,2020-04-05T00:00.000Z,https://i.scdn.co/image/ab67616d00001e029896d1b23053bcbc80c116ba,5GjWuTCUHgWfr55QQ6wIBa,1NolJXUK4gSdTDWNvcYz29
Meta,Urabus,electronic,https://meta14.bandcamp.com/album/urabus,edmonton,17.2,2,2020-04-03T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a0c076fd1ac461051d2d81bb,1nXLOQbA9bqJJ27qC8JRpC,4lZYxd4gadfhoR2rWBHMsk
Black Thunder,La Fine Creata,rock,https://blackthunder.bandcamp.com/album/la-fine-creata,saskatchewan,17.133,3,2020-04-02T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0208e4b616b2401c0594af3eb5,0mCxE2swR3rB1QyjbAHXWX,2nZro8ikZRzMfGfL0MifTP
SPECTRES,Nostalgia,punk,https://spectresvancouver.bandcamp.com/album/nostalgia,vancouver,17.0,25,2020-03-13T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02821119eb419ba579177ac9fc,7sXyDbD0lM4kzu6iN6jUK2,500yQ6SXJF9GBKVZrEjgAs
Vince The Messenger,Nowhere 2 Grow,hip-hop/rap,https://vincethemessenger.bandcamp.com/album/nowhere-2-grow,pei,16.867,17,2020-03-20T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0236deca170768b63b2601e5d1,3uzTMH5MVajbpFIXHIsKCB,7wKTJPnPgXQ8ENAlfpM0eA
Fever Feel,"Less Precious, Pt. IV",rock,https://feverfeel.bandcamp.com/album/less-precious-pt-iv,victoria,16.733,9,2020-03-27T00:00.000Z,https://i.scdn.co/image/ab67616d00001e024aeffb6d2f49edfbbc77ed00,1UJabIdFlh7BjL3d3NACZe,0feZzPyMeYFchi4LJqT094
Tony Maigua,African Fuck,rock,https://tonymaigua.bandcamp.com/album/african-fuck,saskatchewan,16.667,0,2020-04-04T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02efd5e9f62f56828cdc055a6a,4GHNWsXZNDTOghfgOp0JvF,0SndIsxwQDomIDvf1SSETr
Tony Maigua,Akapana,rock,https://tonymaigua.bandcamp.com/album/akapana,saskatchewan,16.667,0,2020-04-04T00:00.000Z,https://i.scdn.co/image/ab67616d00001e028d462595855997f48baee0a1,3091HaT2C37eAVXg3NZuYV,0SndIsxwQDomIDvf1SSETr
Tony Maigua,Ronin Experiment,rock,https://tonymaigua.bandcamp.com/album/ronin-experiment,saskatchewan,16.667,0,2020-04-04T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02b6ae7b7d609858de925e6437,62CmxzYPhcVCEa5TbJSulq,0SndIsxwQDomIDvf1SSETr
Tremblers of Sevens,Aleppo,blues,https://tremblersofsevens.bandcamp.com/album/aleppo-2,victoria,16.667,0,2020-04-04T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02c6fc14451dbf23b4d4769963,0DCMczNJiz0M5ZKTeC5oT8,2pxKDTmfaPoaB6I24SeGJj
Frank Hops,COUGH SYRUP,alternative,https://frankhops.bandcamp.com/album/cough-syrup,britishcolumbia,16.667,0,2020-04-04T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0239f3851cb49ea45bbb44146a,6AZXhM9itoBHx7rwioWXFO,0OtOinx96pwV4mxkrtGCkw
Floristry,"The Longing, Long After",alternative,https://floralmusicgroup.bandcamp.com/album/the-longing-long-after,newbrunswick,16.6,1,2020-04-03T00:00.000Z,https://i.scdn.co/image/ab67616d00001e024aecd693666467ce1eb6b9b0,4bJ8aDhq9jH9yKLXAc33z7,5GEIRCN1QHK4syBLuQjjyv
Amy Nash,Gimpy McNashty,hip-hop/rap,https://amynash.bandcamp.com/album/gimpy-mcnashty,victoria,16.0,0,2020-04-03T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02aabc931fc9897628e39c37b2,0vPdJreAGEk5aIuj2O1j2n,3w8Zjlpr9c7lury0wgLCWr
Sun Up Sun Down,Sun Up Sun Down / Still There Split,punk,https://sunupsundown.bandcamp.com/album/sun-up-sun-down-still-there-split,edmonton,16.0,0,2020-04-03T00:00.000Z,https://i.scdn.co/image/ab67616d00001e029eafaee4c89444d4510aeba2,05KG1ART55t4CMt4sr3Zt0,0cQMQK6ddJmS8CYujbZa9p
Still There,Sun Up Sun Down / Still There Split,punk,https://stillthere.bandcamp.com/album/sun-up-sun-down-still-there-split,calgary,16.0,0,2020-04-03T00:00.000Z,https://i.scdn.co/image/ab67616d00001e029eafaee4c89444d4510aeba2,05KG1ART55t4CMt4sr3Zt0,0cQMQK6ddJmS8CYujbZa9p
Slingshot Miracle,All Your Mirror Gods,rock,https://slingshotmiracle.bandcamp.com/album/all-your-mirror-gods,calgary,16.0,0,2020-04-03T00:00.000Z,https://i.scdn.co/image/ab67616d00001e023966cebf7a104be94484c4df,68zlj5u7XtlWzSWpdOrqYh,4U7mwOHmTodwFseaOPsvoq
Pulsecode,Holographic Dreams,electronic,https://pulsecode780.bandcamp.com/album/holographic-dreams,edmonton,15.933,1,2020-04-02T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02fc8ac9fb952407f4e74e1f7b,1U72PWL1rbNtb54h7ZjXXf,3tiUIUtUGAGjIw2JMB6Ay0
Tilted,Washed,alternative,https://tiltedvancouver.bandcamp.com/album/washed,vancouver,15.333,0,2020-04-02T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0247c1e01d8f471c7f9b0da463,2cGEYyRN9BWBTBhj5fPZv9,2Y7SPXIjnSh1d5WfzCMaBO
newagehip,Haunted Delight Ep,alternative,https://newagehip.bandcamp.com/album/haunted-delight-ep,ottawa,15.333,0,2020-04-02T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0244fb1db059336de0f269f09a,2dN2MiRtQfqJlFOKzRtHQa,5nMgiJ4Jg7TKrXnHaXbbG1
NOCKNOCK,Fundamentals Vol.2,hip-hop/rap,https://nocknock.bandcamp.com/album/fundamentals-vol-2,ottawa,15.333,0,2020-04-02T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a7c6d606b9172b855da42c9a,0Hw0x90hY3hAqLfjTHW5An,71oTq0dJ17FgJaK2h2uDV8
Soul Mates,Not Found,punk,https://soulmatesnoise.com/album/not-found,saskatchewan,15.333,0,2020-04-02T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02ab0ae670a5c0b42264de4466,30MWiibu4vasIhH9YKwam6,1w7niT5y6mAChE4connvXq
FACE FORWARD,One Minute More,punk,https://faceforward.bandcamp.com/album/one-minute-more,edmonton,15.333,0,2020-04-02T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02186a1b1eb3715a3875c5d18e,6Yu9G9gYKSMlixZEe4wxEZ,2RXTjpU1vlU1ODJtMZOcYV
Oscill8,I Love Oscill8,electronic,https://oscill8collective.bandcamp.com/album/i-love-oscill8,calgary,15.333,0,2020-04-02T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e121afb91ced9ec077294d4a,4ek9RsJstRuETz9TH7aE4W,0LyfQWJT6nXafLPZqxe9Of
Are You Afraid Of The Dog,dark,electronic,https://ayaotd.bandcamp.com/album/dark,ottawa,15.267,1,2020-04-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0259d6eda7e52786ec8c068050,622rrSTnPOvbPYmEDWv9dL,5xG3jj3gU0A3fD2iKurjOu
LXVNDR,Warmth,hip-hop/rap,https://lxvndr.bandcamp.com/album/warmth,pei,15.0,5,2020-03-28T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a54a0e47d731a89ac6d1f749,2zsYHrQKQzm367H12bC2Wu,4eweonZsXBVSxvyFtxbVJk
Brent Mason,Fireflies,folk,https://brentmasonmusic.bandcamp.com/album/fireflies,newbrunswick,15.0,5,2020-03-28T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02c0ebb6dd542b2886d1470164,3JRDDKcFhEYjSfrewllYKc,2Gb9x9lptj7955rYJCtsMc
ILL TONE,Up In My Head [EP],hip-hop/rap,https://illtone.bandcamp.com/album/up-in-my-head-ep,vancouver,14.667,0,2020-04-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e025b6b4f9b1c8ffaf5cbc56063,303SnyAdBf2XBpUmxVHWFV,4WgKtyDoZBK7FGZtp35n7A
vektrx,Inside the Machine,hip-hop/rap,https://vektrx.bandcamp.com/album/inside-the-machine,ottawa,14.667,0,2020-04-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02ad86d9d8276340f5aef239e3,5IgOn4PrduNJiHtVG7T49D,527m2SDaANxJwazULi1WD7
The Chillin' Flamingo,Flying Hi,rock,https://thechillinflamingo.bandcamp.com/album/flying-hi-3,ottawa,14.667,0,2020-04-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02fec740ed42f012ec77472573,7iqvJKCB7qSohVlge3LD3I,41oj4BCkviJGbYTzqcMwat
Medistate,Goods of the Soul,electronic,https://medistate.bandcamp.com/album/goods-of-the-soul-2,saskatchewan,14.667,0,2020-04-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e029044ca900b0fef77888fad9f,60K7EC3Y07SZY6cjiWB2km,43QnKmilDthGSOHAOfVQ61
DescendingSilver,Up We Go - EP,electronic,https://descendingsilver.bandcamp.com/album/up-we-go-ep,calgary,14.667,0,2020-04-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e021f5e663248a4e8aaf1502ed6,6T3BouRuUusGePah2o7TI2,4mRv3uSBqVX9QuDVTAbaTD
Cec Lopez,ANGELES,folk,https://ceclopez.bandcamp.com/album/angeles,manitoba,14.6,1,2020-03-31T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02cce306ccc35eb8e5b634775e,5ArGs2OtPWbaoIpc5BbS4k,0KM4Zed9SrpatnXXJy5T0h
Blacked Out,Wasted Breath,punk,https://thousandislandsrecords.bandcamp.com/album/wasted-breath,montreal,14.333,5,2020-03-27T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0238196036454d2ea4767e02d4,0FxEV7Sqq5ADyQMsfDJ9nI,1rQ5jzKYxY1PSZGSu9BOca
Troo Knot,Quest Cookies,electronic,https://trooknot.bandcamp.com/album/quest-cookies,calgary,14.333,5,2020-03-27T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d250e6070acbce5df27cab28,6eZq8pktvGg9yt03VFF2rs,0cOUrAgOTBrT5Z41lAIQBW
Spencer McIntosh,How to Turn Days Into Nights,pop,https://spencermcintosh.bandcamp.com/album/how-to-turn-days-into-nights,calgary,14.0,0,2020-03-31T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d36a73dc2f7ce1b4f741c8fe,51ZyIQmOrFMoUH1zJtyeCA,7pA0RSZ8gsVO7Q363zufiC
Obroa-skai,Split w/ YSIDRO,punk,https://obroa-skai.bandcamp.com/album/split-w-ysidro,edmonton,13.8,3,2020-03-28T00:00.000Z,https://i.scdn.co/image/ab67616d00001e024c0279a576972b0a88c2c81d,7fJuPOVnIWhTbsVJ6r3Cly,05FR0VPDa08LqPin2ahr3H
thomwells,The Onus,hip-hop/rap,https://thomwells.bandcamp.com/album/the-onus,ottawa,13.333,0,2020-03-30T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e378adfc5d11b57698654fef,1gzrbuygHQKh2mTOkvJ2Z9,0rUyqqZBmlvcF22Mn2UD9S
DJ Dine & Dash,Don't Ever Wonder,electronic,https://ddad.bandcamp.com/album/dont-ever-wonder,calgary,13.133,3,2020-03-27T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02f24d744a89a09a8149ce73d0,7rHkcEFbB5ssGFcM4ueC6U,3OCkNswG8cEl7YkktPCOEY
Dead Friends,Joy.,alternative,https://deadfriendss.bandcamp.com/album/joy,edmonton,13.067,14,2020-03-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0258651a895f01cf680e8cb633,47Z4jdHwaJl16Bi71YaN2Z,0FnqudXSSLgWXRR5zRu8je
sanford&powell,cannons + 604/403,alternative,https://san-pow.bandcamp.com/album/cannons-604-403,victoria,12.667,0,2020-03-29T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02f9f752c2d96a5e8e91ea6c53,0mMfYMgkK301l8XQ74KuHt,1I0P0ExVt3cKpcAXnWYReR
the smallest one,afterglow (b-sides),alternative,https://the-smallest-one.bandcamp.com/album/afterglow-b-sides,calgary,12.6,11,2020-03-19T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a78390ed00a86e72a4dc4bba,2yb3rNizL7ivQsxFniypga,0T0AboWIFqjQdSZS6E89pX
