artist,title,genre,rating,image,score,sp_popularity,sp_date,sp_img,sp_album_id,sp_artist_id
Lorenzo Senni,Scacco Matto,Electronic,4.0,https://rovimusic.rovicorp.com/image.jpg?c=cSAGhH0s4ZKOicR-TGUiEwSijaXJlYnq0St31qpAJWo=&f=3,73.533,41,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d4dcfe76f3a83328bcbc776d,31DdFqt8J1AMFXBzrMf1Hb,7mKwhB3UiepqzM946jBOyi
Damien Jurado,"What's New, Tomboy?",Pop/Rock,3.5,https://rovimusic.rovicorp.com/image.jpg?c=RV3qP-nlMVk9SIPOmehJDj6KsMttLlyBmmVTZ6_CLs0=&f=3,73.267,58,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e023b46173af687b01d50802d64,0ImURqKkKAYcG9i9atOMSp,79JJCxCCfJ8HufX6w8q2k4
John Carroll Kirby,My Garden,Pop/Rock,4.0,https://rovimusic.rovicorp.com/image.jpg?c=JZuz2zwB2QRdQT_eENYRdt_M69_UI9rrJSVvWL2-yAg=&f=3,73.133,39,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a32610bc3dc8bdcd5c576b4e,17fhapDqpABZuBnfydgrJD,7FQiZr787umw7P5dO3zqld
RVG,Feral,Pop/Rock,4.0,https://rovimusic.rovicorp.com/image.jpg?c=qG9DOUkx8bspSvKS3pitG4Af7E_1E-2MlBBPmPAXRBU=&f=3,73.133,39,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02825d0f3a1b713fc17452a259,0DnbC84879BiVOxxvb3LpU,4a2c6VZMfp0CdNg1JgSPR9
John Carroll Kirby,My Garden,Pop/Rock,4.0,https://rovimusic.rovicorp.com/image.jpg?c=aCR-hyMxIJzgJDFv28-IlFWnbEN5fCjifro6xhIBuB4=&f=3,73.133,39,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a32610bc3dc8bdcd5c576b4e,17fhapDqpABZuBnfydgrJD,7FQiZr787umw7P5dO3zqld
Chicano Batman,Invisible People,Pop/Rock,3.5,https://rovimusic.rovicorp.com/image.jpg?c=9m3d5aMPJuhNpiDBb0SKHypQg_7iAU1wjqLgK_xGXts=&f=3,73.067,57,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02943d9325c71f05330ac89ce2,2sS14o33EFyvcUPu2dfPOT,0LklyUMMUhpIjMgYHlV0hN
King Gizzard & the Lizard Wizard,Chunky Shrapnel,Pop/Rock,3.5,https://rovimusic.rovicorp.com/image.jpg?c=QZcr3tp5jcGfjLpL1arfZoAf7E_1E-2MlBBPmPAXRBU=&f=3,72.933,68,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e026cf37990705c54ffd493dfbf,4C3YBIjkoOfR0ESIXMvWRG,6XYvaoDGE0VmRt83Jss9Sn
Ron Sexsmith,Hermitage,Pop/Rock,4.0,https://rovimusic.rovicorp.com/image.jpg?c=hAz9pcV3j1f_2NuOsLoLCt_M69_UI9rrJSVvWL2-yAg=&f=3,72.8,49,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02f2485cd86a683cbe370324eb,3omcRW1eCmxhiGvFuJVXnA,2wXBWJhbm1gfEVjyEEuhDH
Joel Harrison,America At War,Jazz,4.5,https://rovimusic.rovicorp.com/image.jpg?c=BuPBSH2tK4Vh9GeiRXiAGASijaXJlYnq0St31qpAJWo=&f=3,72.6,18,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02342e29969f9abe96f52b93a2,2ei2Fe5KFJv2PRzv4JlFxm,6BXA5FDonefcAe2hg4T7K5
Shelby Lynne,Shelby Lynne,Pop/Rock,4.0,https://rovimusic.rovicorp.com/image.jpg?c=Gjp-bjglii3NTP-HhLn1yJhUoDg0hsvx4F4sL4oO-nA=&f=3,72.2,46,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02b4cdec092100fb374f206e77,6L9MAc8jkcsZLYFxMRmVYK,3xx17YXYvPl9PBx6Jzalk4
Tech N9ne,Enterfear,Rap,3.5,https://rovimusic.rovicorp.com/image.jpg?c=jJypcpDBwTaZbA5iqfyS5QSijaXJlYnq0St31qpAJWo=&f=3,72.0,75,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0223f76b8315f99229d5a16f63,5K3xDXfwsVR99q5ruH4iJ6,6UBA15slIuadJ8h2lPRPos
The Pack A.D.,It Was Fun While It Lasted,Pop/Rock,4.0,https://rovimusic.rovicorp.com/image.jpg?c=UWYjn5GimM6IEHl3nFWJ7g4Q1ghY8VaPylnm7PwcKNY=&f=3,71.8,44,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0234e6e13888f150faf08d83d4,1AXmSHA1ltK7gYTcR00zXx,2gbOUPIhea9nrCmAeZBgpo
Hala,Red Herring,Pop/Rock,3.5,https://rovimusic.rovicorp.com/image.jpg?c=y9E687r-nX7MZXWjnZSf0QSijaXJlYnq0St31qpAJWo=&f=3,71.467,49,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02568c7bfe07163dfff82ac778,45Vu1IeIky2HL6w7R2UsRv,1dTBAtLZBUB8Ir4PmJYw9t
American Aquarium,Lamentations,Pop/Rock,3.5,https://rovimusic.rovicorp.com/image.jpg?c=epuqKkLi6xOdbhM9Yh9QRgSijaXJlYnq0St31qpAJWo=&f=3,71.267,48,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0220550b203c8e9be067e62231,16cNE8Er5s7OeJAe0Ki3vC,7nSYcucRT6IGiMepEmiZgT
Active Child,In Another Life,Pop/Rock,4.0,https://cdn-s3.allmusic.com/release-covers/250/0005/187/0005187354.jpg,70.867,51,2020-04-10T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e058a0f1ad2c38282d8817e5,6WlmR977FLZn35bctH2DWv,54KTsBl98buzGkELjGlnuU
White Poppy,Paradise Gardens,Pop/Rock,4.0,https://rovimusic.rovicorp.com/image.jpg?c=OkEfzUWFZEo0fDA6l-uYig4Q1ghY8VaPylnm7PwcKNY=&f=3,70.733,27,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e34da338c76e84c8abde41fc,0wWZnaJrmpIfM2L46RIkar,65BcicEkX7VQAJ1Cl9fgxM
BOAT,Tread Lightly,Pop/Rock,4.0,https://rovimusic.rovicorp.com/image.jpg?c=rYkP4zCjOb2yuv-9xuydYIAf7E_1E-2MlBBPmPAXRBU=&f=3,70.667,15,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e026c5f2083eada48715ecd592d,2Thzy2Hc3SeRRbzGUdg72s,7M3a7BPGoWXciQUx5kfz3e
Hazel English,Wake Up!,Pop/Rock,3.5,https://rovimusic.rovicorp.com/image.jpg?c=hmQj-By3GD_B9f5HQMLdbz6KsMttLlyBmmVTZ6_CLs0=&f=3,70.333,55,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e023dda680164a173c3bba09f96,2A2k0MgzDEiFjW3ejlpxxV,1nEGjL7aMVdNQzsfQPKdGr
Marker Starling,High January,Pop/Rock,4.0,https://rovimusic.rovicorp.com/image.jpg?c=uwp0JZ3k7oX8Zzq1lTIeCVWnbEN5fCjifro6xhIBuB4=&f=3,70.333,25,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02f6787eb03d47ee293131f9f3,3er7U7Xz3YFryjGaFnpKSE,3ng4JmUTAES0oTSlDkF3if
Klara Lewis,Ingrid,Avant-Garde,4.0,https://rovimusic.rovicorp.com/image.jpg?c=MMQDFiOLLHdtFtGcpQiyiVWnbEN5fCjifro6xhIBuB4=&f=3,70.267,13,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02fc8c58e076b06e091d2976e3,7renot42MHAlSDvO2NbmYG,0kyeczWICSebymos0FqJvt
Andrew Gold,Something New: Unreleased Gold,Pop/Rock,3.5,https://rovimusic.rovicorp.com/image.jpg?c=O277-PmEQNM7jHACKnBsbg4Q1ghY8VaPylnm7PwcKNY=&f=3,70.133,54,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0228ab474eb5a228a3bc134807,1rSnlFUS3L0NS8DjoFMpLU,5fmvGUlMVgmnCn45f1he7d
Alice Bag,Sister Dynamite,Pop/Rock,4.0,https://rovimusic.rovicorp.com/image.jpg?c=UWYjn5GimM6IEHl3nFWJ7h_TZlp6n_cq-Emr2zx15tU=&f=3,69.933,23,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02385213572f8ab3e986939301,79otKGft668fFqnQK37E47,0LK0Nj6UFKDtcCju1cD1sm
Happyness,Floatr,Pop/Rock,3.5,https://rovimusic.rovicorp.com/image.jpg?c=BuPBSH2tK4Vh9GeiRXiAGFWnbEN5fCjifro6xhIBuB4=&f=3,69.867,41,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0214ec02baaa24a8bdc76b5a18,0HQX0uEli8pgJPzY8j6hGy,4nddgNqdf0SFeeqhbDN6rN
Chris Keys,Innocent Country 2,Rap,3.5,https://rovimusic.rovicorp.com/image.jpg?c=mZAg-OQs9MpzygKo2tpAvphUoDg0hsvx4F4sL4oO-nA=&f=3,69.533,51,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02b897ecace90f2f389a5de388,30hEhSuHVZ9dsUYDX7qabr,2SlUrJAcTYbWR8GcmB9IEi
Ital Tek,Outland,Electronic,3.5,https://rovimusic.rovicorp.com/image.jpg?c=ClbYOZCKOIxyCXU3bRsTsQ4Q1ghY8VaPylnm7PwcKNY=&f=3,69.267,38,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e020d6d30a0d457f64236e2d616,2xVQGGbx2T5ow3F71Ywrtf,6Auo6gEPwhb9aZindgVpZJ
Soul Asylum,Hurry Up and Wait,Pop/Rock,3.5,https://rovimusic.rovicorp.com/image.jpg?c=Rsglqwuc-4nDLgO7-Yvx6RyhM-OFI8zG4l-qVpXXB1I=&f=3,69.0,60,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e022a21cbd720353b72e42f11b4,0ieij2cknuPnu2OnXZraMl,02da1vDJ2hWqfK7aJL6SJm
Wares,Survival,Pop/Rock,4.0,https://rovimusic.rovicorp.com/image.jpg?c=m9Bs3uJuyN-SzX58rGVE9ZhUoDg0hsvx4F4sL4oO-nA=&f=3,68.933,18,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e0e478c87b8848e164a79c7f,2YNi2N3nIZ4K3YhvCVvvSd,4IJfEp4CKdYvIGGm6Y8xf6
