artist,title,genre,rating,image,score,sp_popularity,sp_date,sp_img,sp_album_id,sp_artist_id
The Soft Pink Truth,Shall We Go On Sinning So That Grace May Increase?,Electronic,8.3,https://media.pitchfork.com/photos/5ea88483895a1b000858e6d3/1:1/w_320/Shall%20We%20Go%20on%20Sinning%20So%20That%20Grace%20May%20Increase?_The%20Soft%20Pink%20Truth.jpg,73.4,43,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e026b2282eb3feec8103c3d973e,1e3s36bc0Ell9KOKEsf16V,1TzvxOvPV19Pr7UiCne5Ei
Mozzy,Beyond Bulletproof,Rap,7.3,https://media.pitchfork.com/photos/5eb18638a4765fb4ce1855f1/1:1/w_320/Beyond%20Bulletproof_Mozzy.jpg,72.8,70,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02826ae8afe097fcec0f0aa5b6,3Ud5r7QHfMF1UhH8a5M1cH,4AA474G2hRfrHyGrfyDseO
YoungBoy Never Broke Again,38 Baby 2,Rap,7.0,https://media.pitchfork.com/photos/5ea70028e71e2d000939e445/1:1/w_320/38%20Baby%202_Youngboy%20Never%20Broke%20Again.jpg,72.267,88,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e021af4894da220a8af6c7a1347,5vjOhA7AkB9WK7I2NnzIex,7wlFDEWiM5OoIAt8RSli8b
Okkyung Lee,Yeo​-​Neun,Electronic,8.0,https://media.pitchfork.com/photos/5eb58190e5423e84f420e610/1:1/w_320/Yeo%E2%80%8B-%E2%80%8BNeun_Okkyung%20Lee.jpg,71.333,30,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a3c26915caa1e17580671f1a,0udIpMQFfhwGZIa0In5OJo,0fVfcPcdnLfSeH0ZAAEeCQ
Chicano Batman,Invisible People,Rock,7.4,https://media.pitchfork.com/photos/5ea9a4b1f8ea2c000863d1c7/1:1/w_320/Invisible%20People_Chicano%20Batman.jpg,71.2,59,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02943d9325c71f05330ac89ce2,2sS14o33EFyvcUPu2dfPOT,0LklyUMMUhpIjMgYHlV0hN
Auscultation,III,Electronic,8.0,https://media.pitchfork.com/photos/5eb9617b8b87698b3b0b9d93/1:1/w_320/III_Auscultation.jpg,70.733,27,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e029da258991016a0bd66dec359,3K3VQ3NSIZl79vMXgiZ3T3,5KlOanD5FKL6qWZ8auNVKQ
X,ALPHABETLAND,Rock,7.6,https://media.pitchfork.com/photos/5ea85a50895a1b000858e6cf/1:1/w_320/Alphabetland_X.jpg,70.6,50,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0245126c8b37b9a99b4071d63f,2rqn3T6DVKs9nWpeVXYTXB,54NqjhP2rT524Mi2GicG4K
Damien Jurado,"What’s New, Tomboy?",Rock,7.3,https://media.pitchfork.com/photos/5eb5cd3ed7b4ffbd265094c3/1:1/w_320/What%E2%80%99s%20New%20Tomboy?_Damien%20Jurado.jpg,70.4,58,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e023b46173af687b01d50802d64,0ImURqKkKAYcG9i9atOMSp,79JJCxCCfJ8HufX6w8q2k4
Johanna Warren,Chaotic Good,Folk/Country,7.9,https://media.pitchfork.com/photos/5ea886739c8ca90009f7f3c2/1:1/w_320/Chaotic%20Good_Johanna%20Warren.jpg,70.4,40,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02ec16b745cdd878b7597dec6d,5k4HEcYp1adly3U1Sx3sFP,2K5c4N7j15hUwrvv0ejlvV
serpentwithfeet,Apparition,Experimental,7.8,https://media.pitchfork.com/photos/5eb18748aa1f4567491c2e6f/1:1/w_320/Apparition%20EP_serpentwithfeet.jpg,70.333,46,2020-04-29T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02c4765ebee72d3126128ab9f9,7FCpNm4l9fNtBeakrvpVf8,1O9iHQjrVuiAYOJFCBeFSl
